url,provider,subject,area
83108,edX,Data Analysis & Statistics,Data Science
83109,edX,Data Analysis & Statistics,Data Science
83111,edX,Computer Science,Computer Science
83116,edX,Biology & Life Sciences,Life Sciences
83277,edX,Computer Science,Computer Science
83786,edX,Engineering,Physical Science and Engineering
83882,edX,Social Sciences,Social Sciences
84021,edX,Computer Science,Computer Science
88626,edX,Biology & Life Sciences,Life Sciences
88693,edX,Business & Management,Business
88868,edX,Education & Teacher Training,Social Sciences
89710,edX,Computer Science,Computer Science
89756,edX,Engineering,Physical Science and Engineering
90812,edX,Computer Science,Computer Science
90813,edX,Computer Science,Computer Science
90815,edX,Computer Science,Computer Science
92727,edX,History,Arts and Humanities
