course_id,url,platform,provider,subject,area,time-1,time-2,time-3,time-4,performance-1,performance-2,performance-3,performance-4,betweenness-1,betweenness-2,betweenness-3,betweenness-4,closeness-1,closeness-2,closeness-3,closeness-4,eigen-1,eigen-2,eigen-3,eigen-4
CourseTalk-2217,69297,CourseTalk,Coursera,Bioinformatics,Life Sciences,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,4.0,NA,NA,NA,0,NA,NA,NA,1.16E-05,NA,NA,NA,4.92E-17
CourseTalk-2218,69290,CourseTalk,Coursera,Bioinformatics,Life Sciences,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2219,70019,CourseTalk,Coursera,Chemistry,Physical Science and Engineering,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2220,68135,CourseTalk,Coursera,Finance,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2221,70015,CourseTalk,Coursera,Biology,Life Sciences,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2222,70040,CourseTalk,Coursera,Music and Art,Arts and Humanities,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2223,68144,CourseTalk,Coursera,Business Strategy,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2224,70038,CourseTalk,Coursera,Software Development,Computer Science,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2225,70337,CourseTalk,Coursera,Biology,Life Sciences,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2226,70280,CourseTalk,Coursera,Mechanical Engineering,Physical Science and Engineering,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2227,70358,CourseTalk,Coursera,Governance and Society,Social Sciences,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2228,75224,CourseTalk,Coursera,Software Development,Computer Science,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2229,70043,CourseTalk,Coursera,Psychology,Social Sciences,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2230,70354,CourseTalk,Coursera,NA,NA,FALSE,TRUE,FALSE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2231,50776,CourseTalk,Coursera,Finance,Business,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2232,70032,CourseTalk,Coursera,Learning English,Language Learning,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2233,50826,CourseTalk,Coursera,Personal Development,Personal Development,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
