url,index,course_id,review_platform,title,provider,subject,area,school,published_time,effort_hours (per_week),level,price,enrollment_type,course_length
https://www.class-central.com/mooc/6216/coursera-service-transformed-lessons-in-u-s-veteran-centered-care,5501,classCentral-2170,classCentral,Service Transformed: Lessons in U.S. Veteran Centered Care,Coursera,Medicine & Healthcare,Life Sciences,University of Michigan,3,NA,NA,49,FREE audit/Pay for certificate,7
https://www.class-central.com/mooc/6292/coursera-perfect-tenses-and-modals,5502,classCentral-2171,classCentral,Perfect Tenses and Modals,Coursera,Learning English,Language Learning,"University of California, Irvine",3,5,Intermediate,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/6507/coursera-software-architecture-for-the-internet-of-things,5503,classCentral-2172,classCentral,Software Architecture for the Internet of Things,Coursera,Software Development,Computer Science,EIT Digital,3,NA,NA,49,FREE audit/Pay for certificate,5
https://www.class-central.com/mooc/6622/coursera-cities-are-back-in-town-sociologia-urbana-para-un-mundo-globalizado,5504,classCentral-2173,classCentral,Cities are back in town : sociolog?a urbana para un mundo globalizado,Coursera,Governance and Society,Social Sciences,Institut d'Etudes Politiques de Paris,4,NA,Introductory,NA,NA,8
https://www.class-central.com/mooc/6684/coursera-fibonacci-numbers-and-the-golden-ratio,5505,classCentral-2174,classCentral,Fibonacci Numbers and the Golden Ratio,Coursera,Math and Logic,Math and Logic,The Hong Kong University of Science and Technology,4,NA,Introductory,49,FREE audit/Pay for certificate,3
https://www.class-central.com/mooc/6759/coursera-marketing-management-i,5506,classCentral-2175,classCentral,Marketing Management I,Coursera,Marketing,Business,University of Illinois at Urbana-Champaign,4,NA,NA,79,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/6824/coursera-presentations-speaking-so-that-people-listen,5507,classCentral-2176,classCentral,Presentations: Speaking so that People Listen,Coursera,Learning English,Language Learning,"University of California, Irvine",4,3.5,Intermediate,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/6855/coursera-data-visualization-with-advanced-excel,5508,classCentral-2177,classCentral,Data Visualization with Advanced Excel,Coursera,Data Analysis,Data Science,PwC,4,3.5,Introductory,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/6918/coursera-recommender-systems-evaluation-and-metrics,5509,classCentral-2178,classCentral,Recommender Systems: Evaluation and Metrics,Coursera,Machine Learning,Data Science,University of Minnesota,4,NA,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7031/coursera-communicating-business-analytics-results,5510,classCentral-2179,classCentral,Communicating Business Analytics Results,Coursera,Data Analysis,Data Science,University of Colorado Boulder,4,NA,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/7043/coursera-predictive-modeling-and-analytics,5511,classCentral-2180,classCentral,Predictive Modeling and Analytics,Coursera,Data Analysis,Data Science,University of Colorado Boulder,4,NA,NA,49,FREE audit/Pay for certificate,4
https://www.class-central.com/mooc/6920/coursera-programming-languages-part-b,5512,classCentral-2181,classCentral,"Programming Languages, Part B",Coursera,Software Development,Computer Science,University of Washington,4,NA,Intermediate,29,FREE audit/Pay for certificate,3
