course_id,title,provider,area,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,in-degree,out-degree,closeness,betweenness,eigenvector,transitivity,constraint
classCentral-6,Evaluating Social Programs,edX,NA,Economics & Finance,Massachusetts Institute of Technology,1,5,1,1,1,TRUE,0,0,0,0,0,5,0,0,4,Intermediate,49,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/1783/edx-evaluating-social-programs,NA,NA,NA,NA,NA,NA,NA
classCentral-6,Evaluating Social Programs,edX,NA,Economics & Finance,Massachusetts Institute of Technology,1,5,1,1,2,TRUE,0,0,0,0,0,5,0,0,4,Intermediate,49,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/1783/edx-evaluating-social-programs,NA,NA,NA,NA,NA,NA,NA
classCentral-6,Evaluating Social Programs,edX,NA,Economics & Finance,Massachusetts Institute of Technology,1,5,1,1,3,TRUE,0,0,0,0,0,5,0,0,4,Intermediate,49,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/1783/edx-evaluating-social-programs,NA,NA,NA,NA,NA,NA,NA
classCentral-6,Evaluating Social Programs,edX,NA,Economics & Finance,Massachusetts Institute of Technology,1,5,1,1,4,TRUE,1,5.0,0.0,0.0,204.0,5,1.0,0.0,4,Intermediate,49,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/1783/edx-evaluating-social-programs,NA,NA,NA,NA,NA,NA,NA
classCentral-7,Foundations of Computer Science for Teachers,edX,NA,Education & Teacher Training,The University of Texas at Austin,71,0,0,4,1,FALSE,0,0,0,0,0,0,0,0,5,Introductory,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/7838/edx-foundations-of-computer-science-for-teachers,NA,NA,NA,NA,NA,NA,NA
classCentral-7,Foundations of Computer Science for Teachers,edX,NA,Education & Teacher Training,The University of Texas at Austin,79,0,0,4,2,FALSE,0,0,0,0,0,0,0,0,5,Introductory,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/7838/edx-foundations-of-computer-science-for-teachers,NA,NA,NA,NA,NA,NA,NA
classCentral-7,Foundations of Computer Science for Teachers,edX,NA,Education & Teacher Training,The University of Texas at Austin,77,0,0,4,3,FALSE,0,0,0,0,0,0,0,0,5,Introductory,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/7838/edx-foundations-of-computer-science-for-teachers,NA,NA,NA,NA,NA,NA,NA
classCentral-7,Foundations of Computer Science for Teachers,edX,NA,Education & Teacher Training,The University of Texas at Austin,67,0,0,4,4,TRUE,0,0,0,0,0,0,0,0,5,Introductory,99,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/7838/edx-foundations-of-computer-science-for-teachers,NA,NA,NA,NA,NA,NA,NA
classCentral-8,Materials Science and Engineering,edX,NA,Engineering,National University of Science and Technology MISiS,NA,0,0,4,1,FALSE,0,0,0,0,0,0,0,0,3.5,Intermediate,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8150/edx-materials-science-and-engineering,NA,NA,NA,NA,NA,NA,NA
classCentral-8,Materials Science and Engineering,edX,NA,Engineering,National University of Science and Technology MISiS,750,0,0,4,2,FALSE,0,0,0,0,0,0,0,0,3.5,Intermediate,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8150/edx-materials-science-and-engineering,NA,NA,NA,NA,NA,NA,NA
classCentral-8,Materials Science and Engineering,edX,NA,Engineering,National University of Science and Technology MISiS,758,0,0,4,3,FALSE,0,0,0,0,0,0,0,0,3.5,Intermediate,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8150/edx-materials-science-and-engineering,NA,NA,NA,NA,NA,NA,NA
classCentral-8,Materials Science and Engineering,edX,NA,Engineering,National University of Science and Technology MISiS,623,0,0,4,4,TRUE,0,0,0,0,0,0,0,0,3.5,Intermediate,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/8150/edx-materials-science-and-engineering,NA,NA,NA,NA,NA,NA,NA
classCentral-9,4G Network Essentials,edX,NA,Engineering,Institut Mines-T?l?com,NA,0,0,4,1,FALSE,0,0,0,0,0,0,0,0,3,Intermediate,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/8371/edx-4g-network-essentials,NA,NA,NA,NA,NA,NA,NA
classCentral-9,4G Network Essentials,edX,NA,Engineering,Institut Mines-T?l?com,NA,0,0,4,2,FALSE,0,0,0,0,0,0,0,0,3,Intermediate,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/8371/edx-4g-network-essentials,NA,NA,NA,NA,NA,NA,NA
classCentral-9,4G Network Essentials,edX,NA,Engineering,Institut Mines-T?l?com,NA,0,0,4,3,FALSE,0,0,0,0,0,0,0,0,3,Intermediate,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/8371/edx-4g-network-essentials,NA,NA,NA,NA,NA,NA,NA
classCentral-9,4G Network Essentials,edX,NA,Engineering,Institut Mines-T?l?com,NA,0,0,4,4,TRUE,0,0,0,0,0,0,0,0,3,Intermediate,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/8371/edx-4g-network-essentials,NA,NA,NA,NA,NA,NA,NA
classCentral-10,Diversity and Social Justice in Social Work,edX,NA,Social Sciences,University of Michigan,22,0,0,4,1,FALSE,0,0,0,0,0,0,0,0,9,Advanced,199,FREE audit/Pay for certificate,8,https://www.class-central.com/mooc/7305/edx-diversity-and-social-justice-in-social-work,NA,NA,NA,NA,NA,NA,NA
classCentral-10,Diversity and Social Justice in Social Work,edX,NA,Social Sciences,University of Michigan,23,0,0,4,2,FALSE,0,0,0,0,0,0,0,0,9,Advanced,199,FREE audit/Pay for certificate,8,https://www.class-central.com/mooc/7305/edx-diversity-and-social-justice-in-social-work,NA,NA,NA,NA,NA,NA,NA
classCentral-10,Diversity and Social Justice in Social Work,edX,NA,Social Sciences,University of Michigan,30,0,0,4,3,FALSE,0,0,0,0,0,0,0,0,9,Advanced,199,FREE audit/Pay for certificate,8,https://www.class-central.com/mooc/7305/edx-diversity-and-social-justice-in-social-work,NA,NA,NA,NA,NA,NA,NA
