"","degree","closeness","betweenness","eigenvector","transitivity","constraint","isolate","foldness","url","time"
"784",86,5.79199777587285e-06,1243.57453946259,0.192483674322302,0.577564979480164,0.0456514787626099,0,36,"https://www.class-central.com/mooc/3198/coursera-principles-of-computing-part-2",3
"785",19,5.77864329012834e-06,6.76181162867201,0.0653826858282682,1,0.134888724793324,0,10,"https://www.class-central.com/mooc/4184/coursera-data-management-and-visualization",3
"786",9,5.78165019859968e-06,15.4369133689464,0.00983894860630824,1,0.220478309132907,0,3,"https://www.class-central.com/mooc/4204/coursera-operations-analytics",3
"787",57,5.79152815261835e-06,416.426622169442,0.1534758993931,0.596491228070175,0.0548958612907289,0,31,"https://www.class-central.com/mooc/4297/coursera-data-visualization-and-communication-with-tableau",3
"788",2,5.75980462742704e-06,0,0.000475945934261147,1,0.540252970046607,0,1,"https://www.class-central.com/mooc/4300/coursera-the-fundamentals-of-hotel-distribution",3
"789",15,5.77894384022376e-06,198.013601494039,0.0141425186414697,0.59047619047619,0.151332211446914,0,4,"https://www.class-central.com/mooc/4305/coursera-java-programming-solving-problems-with-software",3
"790",14,5.78757292341884e-06,248.625608101934,0.0168900429638789,0.538461538461538,0.112705711414173,0,4,"https://www.class-central.com/mooc/4362/coursera-java-programming-arrays-lists-and-structured-data",3
"791",61,5.78844395049723e-06,35.4864278666175,0.137654129134431,1,0.0516569776918041,0,29,"https://www.class-central.com/mooc/4348/coursera-ios-app-development-basics",3
"792",38,5.78609947462217e-06,1108.16802460148,0.0731154970592072,0.627311522048364,0.0653112405184779,0,12,"https://www.class-central.com/mooc/4792/coursera-fundamentals-of-graphic-design",3
"793",10,5.78064754813834e-06,9.70715145976692,0.00865351170377219,1,0.25435659451295,0,3,"https://www.class-central.com/mooc/4728/coursera-analisis-de-sistemas-de-transporte",3
"794",7,5.77804228371343e-06,0.142857142857143,0.00472416487362413,1,0.394247121174148,0,2,"https://www.class-central.com/mooc/5466/coursera-entrepreneurship-3-growth-strategies",3
"795",65,5.79263524355135e-06,1252.76464089687,0.0412115806385299,0.476923076923077,0.0457640169231135,0,16,"https://www.class-central.com/mooc/668/coursera-origins-formation-of-the-universe-solar-system-earth-and-life",3
"796",5,5.76548320514742e-06,142.425449131329,0.000433988492382414,0.2,0.309143237202251,0,2,"https://www.class-central.com/mooc/598/coursera-the-modern-and-the-postmodern-part-1",3
"797",0,9.58348267593837e-07,0,0.000226974084614271,0,0,1,0,"https://www.class-central.com/mooc/889/coursera-introduction-to-public-speaking",3
"798",8,5.77854311371017e-06,201.450722226821,0.00483195086602031,1,0.347398159864946,0,2,"https://www.class-central.com/mooc/1148/coursera-applications-in-engineering-mechanics",3
"799",152,5.79374275782155e-06,7854.97218491184,0.967708528617973,0.284942488672011,0.0545324474014136,0,35,"https://www.class-central.com/mooc/1713/coursera-r-programming",3
"800",82,5.79062266565524e-06,718.626195360636,0.187467008869626,0.643480879253237,0.043031185546496,0,34,"https://www.class-central.com/mooc/1725/coursera-algorithmic-thinking-part-1",3
"801",8,5.77854311371017e-06,201.450722226821,0.0048319508758759,1,0.347398159864946,0,2,"https://www.class-central.com/mooc/2064/coursera-advanced-engineering-systems-in-motion-dynamics-of-three-dimensional-3d-motion",3
"802",53,5.79139398853304e-06,1569.49428008753,0.0152016455471422,0.5355587808418,0.060016135459951,0,13,"https://www.class-central.com/mooc/2709/coursera-new-venture-finance-startup-funding-for-entrepreneurs",3
"803",61,5.78844395049723e-06,35.4864278666175,0.137654129133892,1,0.0516569776918041,0,29,"https://www.class-central.com/mooc/2735/coursera-cluster-analysis-in-data-mining",3
"804",12,5.77520588608984e-06,60.857279969809,0.0152638532532282,0.651515151515151,0.168017014214692,0,5,"https://www.class-central.com/mooc/4166/coursera-accounting-analytics",3
"805",0,9.58348267593837e-07,0,0.000226974084614271,0,0,1,0,"https://www.class-central.com/mooc/4173/coursera-internet-of-things-communication-technologies",3
"806",39,5.78589860791279e-06,571.252900726254,0.0925769444410587,0.754385964912281,0.0703215832612738,0,16,"https://www.class-central.com/mooc/4200/coursera-responsive-web-design",3
"807",61,5.78844395049723e-06,35.4864278666175,0.137654129142111,1,0.0516569776918041,0,29,"https://www.class-central.com/mooc/4248/coursera-introduction-to-swift-programming",3
"808",44,5.78399106951779e-06,6600.72109168172,0.0209110801862966,0.168076109936575,0.0559722955209413,0,3,"https://www.class-central.com/mooc/4236/coursera-grammar-and-punctuation",3
"809",19,5.78810890905723e-06,760.249016793377,0.0141828804010339,0.421052631578947,0.11403959654013,0,7,"https://www.class-central.com/mooc/4243/coursera-influencing-people",3
"810",42,5.78723798280033e-06,763.118562695062,0.094976155237274,0.684088269454123,0.0695351429844209,0,15,"https://www.class-central.com/mooc/4337/coursera-database-management-essentials",3
"811",33,5.78302105019662e-06,20.5580778602642,0.0871117670612273,1,0.0831314051211082,0,17,"https://www.class-central.com/mooc/4370/coursera-foundations-of-marketing-analytics",3
"812",33,5.78302105019662e-06,20.5580778602642,0.0871117670620102,1,0.0831314051211082,0,17,"https://www.class-central.com/mooc/4356/coursera-responsive-website-tutorial-and-examples",3
"813",7,5.76907544796871e-06,134.437679547436,0.000696839634221214,0.476190476190476,0.223643374767551,0,3,"https://www.class-central.com/mooc/4363/coursera-getting-started-with-essay-writing",3
"814",0,9.58348267593837e-07,0,0.000226974084614271,0,0,1,0,"https://www.class-central.com/mooc/4659/coursera-robotica",3
"815",1,5.77750816073028e-06,0,0.00443935294474362,0,1.00000741218805,0,1,"https://www.class-central.com/mooc/5525/coursera---python---",3
"816",0,9.58348267593837e-07,0,0.000226974084614271,0,0,1,0,"https://www.class-central.com/mooc/5462/coursera-preparing-to-manage-human-resources",3
"817",7,5.7780088981337e-06,0,0.00476373115331095,1,0.400559532615238,0,2,"https://www.class-central.com/mooc/5467/coursera-entrepreneurship-1-developing-the-opportunity",3
"818",0,9.58348267593837e-07,0,0.000226974084614271,0,0,1,0,"https://www.class-central.com/mooc/493/coursera-dynamical-modeling-methods-for-systems-biology",3
"819",19,5.78218508774466e-06,95.4674745084367,0.0470958961419515,0.713450292397661,0.103811010152172,0,7,"https://www.class-central.com/mooc/462/coursera-image-and-video-processing-from-mars-to-hollywood-with-a-stop-at-the-hospital",3
"820",84,5.79149461101426e-06,4976.43319635723,0.0288590295883256,0.356282271944923,0.0366615311839917,0,15,"https://www.class-central.com/mooc/722/coursera-from-the-big-bang-to-dark-energy",3
