course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,time,time_review_count,time_review_rating,time_avg_low_review,time_avg_moderate_review,time_avg_high_review,time_avg_helpful_review_score,time_avg_review_length,effort_hours (per_week),level,price,enrollment_type,course_length,url
classCentral-14,Complex Analysis with Physical Applications,edX,Math,National University of Science and Technology MISiS,750,0,0,2,0,0,0,0,0,0,0,5.5,Advanced,49,FREE audit/Pay for certificate,14,https://www.class-central.com/mooc/8152/edx-complex-analysis-with-physical-applications
classCentral-14,Complex Analysis with Physical Applications,edX,Math,National University of Science and Technology MISiS,758,0,0,3,0,0,0,0,0,0,0,5.5,Advanced,49,FREE audit/Pay for certificate,14,https://www.class-central.com/mooc/8152/edx-complex-analysis-with-physical-applications
classCentral-14,Complex Analysis with Physical Applications,edX,Math,National University of Science and Technology MISiS,623,0,0,4,0,0,0,0,0,0,0,5.5,Advanced,49,FREE audit/Pay for certificate,14,https://www.class-central.com/mooc/8152/edx-complex-analysis-with-physical-applications
classCentral-15,Get Beyond Work-Life Balance (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,1,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5286/edx-get-beyond-work-life-balance-inclusive-leadership-training
classCentral-15,Get Beyond Work-Life Balance (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,2,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5286/edx-get-beyond-work-life-balance-inclusive-leadership-training
classCentral-15,Get Beyond Work-Life Balance (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,3,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5286/edx-get-beyond-work-life-balance-inclusive-leadership-training
classCentral-15,Get Beyond Work-Life Balance (Inclusive Leadership Training),edX,Business & Management,Catalyst,NA,4,1,4,1,4.0,0.0,0.0,1.0,0.0,0.0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5286/edx-get-beyond-work-life-balance-inclusive-leadership-training
classCentral-16,Tsinghua Chinese: Start Talking with 1.3 Billion People,edX,Language,Tsinghua University,48,4.823529412,34,1,0,0,0,0,0,0,0,4,Introductory,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/5426/edx-tsinghua-chinese-start-talking-with-1-3-billion-people
classCentral-16,Tsinghua Chinese: Start Talking with 1.3 Billion People,edX,Language,Tsinghua University,47,4.823529412,34,2,0,0,0,0,0,0,0,4,Introductory,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/5426/edx-tsinghua-chinese-start-talking-with-1-3-billion-people
classCentral-16,Tsinghua Chinese: Start Talking with 1.3 Billion People,edX,Language,Tsinghua University,25,4.823529412,34,3,0,0,0,0,0,0,0,4,Introductory,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/5426/edx-tsinghua-chinese-start-talking-with-1-3-billion-people
classCentral-16,Tsinghua Chinese: Start Talking with 1.3 Billion People,edX,Language,Tsinghua University,24,4.823529412,34,4,36,4.833333333333333,0.0,0.027777777777777776,0.9722222222222222,0.5277777777777778,271.30555555555554,4,Introductory,49,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/5426/edx-tsinghua-chinese-start-talking-with-1-3-billion-people
classCentral-17,Becoming a Successful Leader (Inclusive Leadership Training),edX,Business & Management,NA,NA,4,1,1,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/2947/edx-becoming-a-successful-leader-inclusive-leadership-training
classCentral-17,Becoming a Successful Leader (Inclusive Leadership Training),edX,Business & Management,NA,NA,4,1,2,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/2947/edx-becoming-a-successful-leader-inclusive-leadership-training
classCentral-17,Becoming a Successful Leader (Inclusive Leadership Training),edX,Business & Management,NA,NA,4,1,3,0,0,0,0,0,0,0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/2947/edx-becoming-a-successful-leader-inclusive-leadership-training
classCentral-17,Becoming a Successful Leader (Inclusive Leadership Training),edX,Business & Management,NA,NA,4,1,4,1,4.0,0.0,0.0,1.0,0.0,0.0,1.25,Introductory,50,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/2947/edx-becoming-a-successful-leader-inclusive-leadership-training
classCentral-18,Climate Change: The Science,edX,Science,The University of British Columbia,49,4.5,2,1,0,0,0,0,0,0,0,3.5,Introductory,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/4001/edx-climate-change-the-science
classCentral-18,Climate Change: The Science,edX,Science,The University of British Columbia,43,4.5,2,2,0,0,0,0,0,0,0,3.5,Introductory,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/4001/edx-climate-change-the-science
classCentral-18,Climate Change: The Science,edX,Science,The University of British Columbia,50,4.5,2,3,1,4.0,0.0,0.0,1.0,0.0,288.0,3.5,Introductory,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/4001/edx-climate-change-the-science
classCentral-18,Climate Change: The Science,edX,Science,The University of British Columbia,45,4.5,2,4,1,5.0,0.0,0.0,1.0,0.0,0.0,3.5,Introductory,49,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/4001/edx-climate-change-the-science
classCentral-19,Analytics for Decision Making,edX,Business & Management,Babson College,NA,0,0,1,0,0,0,0,0,0,0,5,Introductory,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/7517/edx-analytics-for-decision-making
classCentral-19,Analytics for Decision Making,edX,Business & Management,Babson College,NA,0,0,2,0,0,0,0,0,0,0,5,Introductory,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/7517/edx-analytics-for-decision-making
classCentral-19,Analytics for Decision Making,edX,Business & Management,Babson College,NA,0,0,3,0,0,0,0,0,0,0,5,Introductory,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/7517/edx-analytics-for-decision-making
classCentral-19,Analytics for Decision Making,edX,Business & Management,Babson College,NA,0,0,4,0,0,0,0,0,0,0,5,Introductory,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/7517/edx-analytics-for-decision-making
classCentral-20,Atomic and Optical Physics: Light Forces and Laser Cooling,edX,Physics,Massachusetts Institute of Technology,1,0,0,1,0,0,0,0,0,0,0,11,Advanced,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/8288/edx-atomic-and-optical-physics-light-forces-and-laser-cooling
classCentral-20,Atomic and Optical Physics: Light Forces and Laser Cooling,edX,Physics,Massachusetts Institute of Technology,1,0,0,2,0,0,0,0,0,0,0,11,Advanced,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/8288/edx-atomic-and-optical-physics-light-forces-and-laser-cooling
classCentral-20,Atomic and Optical Physics: Light Forces and Laser Cooling,edX,Physics,Massachusetts Institute of Technology,1,0,0,3,0,0,0,0,0,0,0,11,Advanced,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/8288/edx-atomic-and-optical-physics-light-forces-and-laser-cooling
classCentral-20,Atomic and Optical Physics: Light Forces and Laser Cooling,edX,Physics,Massachusetts Institute of Technology,1,0,0,4,0,0,0,0,0,0,0,11,Advanced,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/8288/edx-atomic-and-optical-physics-light-forces-and-laser-cooling
classCentral-21,"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",edX,Economics & Finance,International Monetary Fund,NA,4,1,1,0,0,0,0,0,0,0,9,Intermediate,25,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/1980/edx-financial-programming-and-policies-part-1-macroeconomic-accounts-analysis
classCentral-21,"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",edX,Economics & Finance,International Monetary Fund,NA,4,1,2,0,0,0,0,0,0,0,9,Intermediate,25,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/1980/edx-financial-programming-and-policies-part-1-macroeconomic-accounts-analysis
classCentral-21,"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",edX,Economics & Finance,International Monetary Fund,NA,4,1,3,1,4.0,0.0,0.0,1.0,3.0,0.0,9,Intermediate,25,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/1980/edx-financial-programming-and-policies-part-1-macroeconomic-accounts-analysis
