from,to
https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology,https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases
https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology,https://www.class-central.com/mooc/655/coursera-social-epidemiology
https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology,https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets
https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology,https://www.class-central.com/mooc/419/coursera-equine-nutrition
https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases,https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology
https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases,https://www.class-central.com/mooc/655/coursera-social-epidemiology
https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases,https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets
https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases,https://www.class-central.com/mooc/419/coursera-equine-nutrition
https://www.class-central.com/mooc/655/coursera-social-epidemiology,https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology
https://www.class-central.com/mooc/655/coursera-social-epidemiology,https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases
https://www.class-central.com/mooc/655/coursera-social-epidemiology,https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets
https://www.class-central.com/mooc/655/coursera-social-epidemiology,https://www.class-central.com/mooc/419/coursera-equine-nutrition
https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets,https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology
https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets,https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases
https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets,https://www.class-central.com/mooc/655/coursera-social-epidemiology
https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets,https://www.class-central.com/mooc/419/coursera-equine-nutrition
https://www.class-central.com/mooc/419/coursera-equine-nutrition,https://www.class-central.com/mooc/597/coursera-genes-and-the-human-condition-from-behavior-to-biotechnology
https://www.class-central.com/mooc/419/coursera-equine-nutrition,https://www.class-central.com/mooc/678/coursera-epidemics-the-dynamics-of-infectious-diseases
https://www.class-central.com/mooc/419/coursera-equine-nutrition,https://www.class-central.com/mooc/655/coursera-social-epidemiology
https://www.class-central.com/mooc/419/coursera-equine-nutrition,https://www.class-central.com/mooc/513/coursera-archaeology-s-dirty-little-secrets
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/407/coursera-computational-photography
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/2707/coursera-scaling-operations-linking-strategy-and-execution
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/372/coursera-introduction-to-operations-management
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise
https://www.class-central.com/mooc/648/coursera-new-models-of-business-in-society,https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects
