id,1,2,3,4,5,6,7
/u/212217,['Research Methods'],,,,,,
/u/348408,['Business & Management'],"['Research Methods', 'Governance and Society']",,,,,
/u/446714,"['Nutrition', 'Marketing']",,,,,,
/u/120389,['Personal Development'],,,,,,
/u/238605,['Nutrition'],['Entrepreneurship'],['Business & Management'],['Business & Management'],,,
/u/59262,['Environmental Science and Sustainability'],['Nutrition'],,,,,
/u/423197,['Nutrition'],,,,,,
/u/418223,['Nutrition'],,,,,,
/u/347964,['Nutrition'],,,,,,
/u/117754,['Nutrition'],,,,,,
/u/429569,['Nutrition'],,,,,,
/u/189872,['Nutrition'],,,,,,
/u/275618,['Nutrition'],,,,,,
/u/65595,['Psychology'],,,,,,
/u/167040,['Psychology'],,,,,,
/u/174841,"['Psychology', 'Psychology', 'Personal Development']",['Law'],,,,,
/u/181925,['Psychology'],['Economics'],,,,,
/u/101361,['Music and Art'],,,,,,
/u/216116,"['Entrepreneurship', 'Personal Development']",,,,,,
/u/314796,['History'],,,,,,
/u/162374,['Personal Development'],,,,,,
/u/417901,['Personal Development'],,,,,,
/u/255282,['Personal Development'],,,,,,
/u/444061,['Personal Development'],,,,,,
/u/461698,['Personal Development'],,,,,,
/u/268683,['Personal Development'],,,,,,
/u/467295,"['Personal Development', 'Personal Development']",,,,,,
/u/438357,['Personal Development'],,,,,,
/u/414376,['Personal Development'],,,,,,
/u/424812,['Personal Development'],,,,,,
/u/425235,['Personal Development'],,,,,,
/u/432753,['Personal Development'],,,,,,
/u/454544,['Personal Development'],,,,,,
/u/220101,['Personal Development'],,,,,,
/u/416672,['Personal Development'],,,,,,
/u/205334,['Personal Development'],,,,,,
/u/434272,['Personal Development'],,,,,,
/u/454453,['Personal Development'],,,,,,
/u/197617,['Software Development'],['Personal Development'],,,,,
/u/423336,['Personal Development'],,,,,,
/u/470155,['Personal Development'],,,,,,
/u/414173,['Personal Development'],,,,,,
/u/459810,['Personal Development'],,,,,,
/u/383214,['Personal Development'],,,,,,
/u/455702,['Personal Development'],,,,,,
/u/430098,['Personal Development'],,,,,,
/u/420736,['Personal Development'],,,,,,
/u/439926,['Personal Development'],,,,,,
