"","degree","closeness","betweenness","eigenvector","transitivity","constraint","url","time"
"822",56,9.1925283129872e-06,648.393004423563,0.644851285694849,0.964376035415206,0.0619452108449752,"https://www.class-central.com/mooc/608/edx-the-challenges-of-global-poverty",6
"823",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/3471/coursera-confronting-gender-based-violence-global-lessons-for-healthcare-workers",6
"824",81,9.2054754167779e-06,3997.59739327289,0.183312440974436,0.281880444586282,0.0505883759670973,"https://www.class-central.com/mooc/1623/edx-the-analytics-edge",6
"825",28,9.2000552003312e-06,40.5864582928393,0.0821700887962469,1.00009032112949,0.102669983351258,"https://www.class-central.com/mooc/2852/edx-entrepreneurship-102-do-you-have-a-product",6
"826",9,9.18518246364964e-06,10.6807289620137,0.0128715596291902,1.00009032112949,0.277072691133312,"https://www.class-central.com/mooc/2647/edx-calculus-1a-differentiation",6
"827",5,9.16052911216152e-06,0.0196078431372549,0.0278427261854494,1.00009032112949,0.400861781055429,"https://www.class-central.com/mooc/738/coursera-egiptologia-egyptology",6
"828",2,1.64155093732559e-06,0,1.11772366423573e-05,1.00009032112949,1.1250157493094,"https://www.class-central.com/mooc/3649/edx-introduction-to-sociology",6
"829",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/3502/edx-human-origins",6
"830",20,9.18315808806649e-06,269.658897113608,0.024605960903515,0.731669268497913,0.142616912595086,"https://www.class-central.com/mooc/3503/edx-introduction-to-solar-systems-astronomy",6
"831",9,9.16607087205998e-06,3.01388331269082,0.00324838917735631,1.00009032112949,0.241282316839601,"https://www.class-central.com/mooc/4607/coursera-innovating-in-a-digital-world",6
"832",58,9.19531774420465e-06,448.458375627762,0.646791912641197,0.902086691365427,0.0591297541432848,"https://www.class-central.com/mooc/2079/edx-humanity-and-nature-in-chinese-thought",6
"833",58,9.20276451045894e-06,2824.12306925743,0.0888331540096964,0.464700121492468,0.0551403800130467,"https://www.class-central.com/mooc/2140/edx-supply-chain-fundamentals",6
"834",57,9.19345793533322e-06,812.649168825789,0.645373670972092,0.931794581781121,0.0603147429687342,"https://www.class-central.com/mooc/926/edx-introduction-to-philosophy-god-knowledge-and-consciousness",6
"835",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/4053/coursera-sexing-the-canvas-art-and-gender",6
"836",31,9.20606864044778e-06,1849.45345711683,0.103485423373426,0.468907525430567,0.0758959989444992,"https://www.class-central.com/mooc/1264/coursera-introduction-to-forensic-science",6
"837",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/1950/edx-improving-global-health-focusing-on-quality-and-safety",6
"838",3,9.10108575953111e-06,3.27314330148558,0.00102730148071387,1.00009032112949,0.774079620342966,"https://www.class-central.com/mooc/2958/edx-bases-matematicas-integrales",6
"839",5,9.15641910761539e-06,0,0.00126278977518596,1.00009032112949,0.40936094622808,"https://www.class-central.com/mooc/3648/edx-human-anatomy",6
"840",11,9.1776798825257e-06,13.3391245181038,0.0164969533363148,1.00009032112949,0.182170857438194,"https://www.class-central.com/mooc/329/coursera-introduction-to-logic",6
"841",1,1.63944907953131e-06,0,5.54464670076406e-06,0,1.0000157493094,"https://www.class-central.com/mooc/3553/edx-intermediate-financial-and-management-accounting",6
"842",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/2820/edx-journalism-for-social-change",6
"843",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/3501/edx-western-civilization-ancient-and-medieval-europe",6
"844",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/2014/coursera-health-literacy-and-communication-for-health-professionals",6
"845",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/356/coursera-modern-contemporary-american-poetry-modpo",6
"846",3,9.13258689656432e-06,1.20916305916306,0.000474118272186222,1.00009032112949,0.574680620900796,"https://www.class-central.com/mooc/836/coursera-natural-language-processing",6
"847",101,9.20022448547744e-06,5085.07341711841,0.91585907210692,0.423258637961175,0.0369464399945822,"https://www.class-central.com/mooc/610/edx-justice",6
"848",58,9.20623814696839e-06,2297.43335561575,0.666203011801679,0.90450653407565,0.0598559221361419,"https://www.class-central.com/mooc/1332/edx-the-science-of-everyday-thinking",6
"849",25,9.19202132548947e-06,1309.42675793318,0.0749954805961305,0.340090321129492,0.0783601992222532,"https://www.class-central.com/mooc/442/edx-introduction-to-computer-science",6
"850",19,9.18155609012615e-06,882.68090272723,0.0351069415360365,0.321727748030077,0.116539922783751,"https://www.class-central.com/mooc/2021/edx-the-psychology-of-criminal-justice",6
"851",21,9.18096602124476e-06,489.020328976323,0.0142134075542044,0.676280797319968,0.137411754204304,"https://www.class-central.com/mooc/1635/edx-astrophysics-exploring-exoplanets",6
"852",19,9.17885925137224e-06,261.04177877298,0.0137001048676202,0.801259911772767,0.150379459814622,"https://www.class-central.com/mooc/3031/edx-astrophysics-cosmology",6
"853",18,9.1760797951899e-06,236.209716428669,0.0128181883420616,0.62100535380923,0.143419839644396,"https://www.class-central.com/mooc/3042/edx-introduction-to-aerospace-engineering-astronautics-and-human-spaceflight",6
"854",4,9.13842892129985e-06,475.162632468812,0.00271151836847228,0.500090321129492,0.508114922863117,"https://www.class-central.com/mooc/2526/edx-introduction-to-algebra",6
"855",25,9.19033177097693e-06,1067.13612199291,0.0311247112837524,0.490090321129492,0.100310907362241,"https://www.class-central.com/mooc/2636/edx-introduction-to-differential-equations",6
"856",56,9.19185234208398e-06,75.2138661015677,0.741444285169193,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/941/edx-china-part-1-political-and-intellectual-foundations-from-the-sage-kings-to-confucius-and-the-legalists",6
"857",22,9.17414359369553e-06,0.35750981081741,0.0106657383978168,1.00009032112949,0.147163790405218,"https://www.class-central.com/mooc/2430/edx-fundamentals-of-neuroscience-part-2-neurons-and-networks",6
"858",56,9.19185234208398e-06,75.2138661015677,0.74144428621567,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/1845/edx-china-part-4-literati-china-examinations-and-neo-confucianism",6
"859",37,9.18526683200147e-06,286.85745993758,0.265145874614164,0.9084987295379,0.0796243766046405,"https://www.class-central.com/mooc/1649/edx-tropical-coastal-ecosystems",6
"860",7,9.15281540601889e-06,0.242527477821595,0.0200112645976352,1.00009032112949,0.291992288052052,"https://www.class-central.com/mooc/927/edx-introduction-to-human-evolution",6
"861",0,1.63735259733243e-06,0,0.00164522006042368,0,0,"https://www.class-central.com/mooc/2439/edx-the-civil-war-and-reconstruction-1865-1890-the-unfinished-revolution",6
"862",56,9.19185234208398e-06,75.2138661015677,0.741444286074512,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/1617/edx-china-part-2-the-creation-and-end-of-centralized-empire",6
"863",56,9.19185234208398e-06,75.2138661015677,0.741444285405185,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/1986/edx-china-part-6-the-manchus-and-the-qing-dynasty",6
"864",10,9.14001590362767e-06,815.838615617463,0.0583865337068503,0.533423654462825,0.21346234546835,"https://www.class-central.com/mooc/2527/edx-introduction-to-geometry",6
"865",4,9.13100249276368e-06,22.8418731073942,0.000901991767078464,0.333423654462825,0.37411242305402,"https://www.class-central.com/mooc/1911/edx-autonomous-navigation-for-flying-robots",6
