course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,in-degree,out-degree,closeness,betweenness,eigenvector,transitivity
CourseTalk-11,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,University of Michigan,30,5,3,4,3,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,49,FREE audit/Pay for certificate,5,66271,NA,NA,NA,NA,NA,NA
CourseTalk-11,Social Work Practice: Advocating Social Justice and Change,edX,Social Sciences,University of Michigan,23,5,3,4,4,TRUE,3,1.6666666666666667,0.1111111111111111,0.0,55.55555555555555,5,1.0,0.0,2.5,Introductory,49,FREE audit/Pay for certificate,5,66271,NA,NA,NA,NA,NA,NA
CourseTalk-12,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Harvard University,2,4,1,1,1,TRUE,0,0,0,0,0,4,0,0,2.5,Introductory,90,FREE audit/Pay for certificate,4,14421,NA,NA,NA,NA,NA,NA
CourseTalk-12,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Harvard University,4,4,1,1,2,FALSE,0,0,0,0,0,4,0,0,2.5,Introductory,90,FREE audit/Pay for certificate,4,14421,NA,NA,NA,NA,NA,NA
CourseTalk-12,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Harvard University,2,4,1,1,3,TRUE,0,0,0,0,0,4,0,0,2.5,Introductory,90,FREE audit/Pay for certificate,4,14421,NA,NA,NA,NA,NA,NA
CourseTalk-12,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,edX,History,Harvard University,3,4,1,1,4,FALSE,1,5.0,0.0,0.0,185.0,4,1.0,0.0,2.5,Introductory,90,FREE audit/Pay for certificate,4,14421,1,1,1.16483593285886e-05,0,4.2570995346132e-17,7.47551767959931e-05
CourseTalk-13,Macroeconometric Forecasting,edX,Economics & Finance,International Monetary Fund,NA,4,27,3,1,FALSE,0,0,0,0,0,4,0,0,7,Intermediate,25,FREE audit/Pay for certificate,9,80170,NA,NA,NA,NA,NA,NA
CourseTalk-13,Macroeconometric Forecasting,edX,Economics & Finance,International Monetary Fund,NA,4,27,3,2,FALSE,0,0,0,0,0,4,0,0,7,Intermediate,25,FREE audit/Pay for certificate,9,80170,NA,NA,NA,NA,NA,NA
CourseTalk-13,Macroeconometric Forecasting,edX,Economics & Finance,International Monetary Fund,NA,4,27,3,3,TRUE,9,0.4938271604938272,0.0,0.024691358024691357,35.49382716049383,4,0.7777777777777778,0.0,7,Intermediate,25,FREE audit/Pay for certificate,9,80170,NA,NA,NA,NA,NA,NA
CourseTalk-13,Macroeconometric Forecasting,edX,Economics & Finance,International Monetary Fund,NA,4,27,3,4,TRUE,18,0.22685185185185183,0.0030864197530864196,0.009259259259259259,17.342592592592595,4,0.7777777777777778,0.0030864197530864196,7,Intermediate,25,FREE audit/Pay for certificate,9,80170,NA,NA,NA,NA,NA,NA
