cliq,freq
"['Biology & Life Sciences', 'Data Analysis & Statistics', 'Engineering']",66
"['Biology & Life Sciences', 'History', 'Humanities']",66
"['Entrepreneurship', 'Finance', 'Music and Art']",66
"['Finance', 'Health & Safety', 'History']",66
"['Education', 'Finance', 'Mobile and Web Development']",66
"['Education', 'Medicine & Healthcare', 'Music and Art']",66
"['Education', 'History', 'Math and Logic']",66
"['Education', 'Health & Safety', 'History']",66
"['Entrepreneurship', 'Health & Safety', 'History']",66
"['Entrepreneurship', 'Environmental Science and Sustainability', 'History']",66
"['Business & Management', 'Computer Science', 'Data Analysis']",65
"['Computer Science', 'History', 'Math']",65
"['Business & Management', 'Computer Science', 'Music and Art']",65
"['Computer Science', 'Economics', 'Mobile and Web Development']",65
"['Business & Management', 'Environmental Science and Sustainability', 'History']",65
"['Data Analysis', 'Software Development', 'Software Development']",65
"['Biology', 'Finance', 'Music and Art']",65
"['Biology', 'Computer Science', 'Finance']",65
"['History', 'Mechanical Engineering', 'Medicine & Healthcare']",65
"['Biology & Life Sciences', 'Biology & Life Sciences', 'Social Sciences']",64
"['Data Analysis & Statistics', 'Engineering', 'Social Sciences']",64
"['Business & Management', 'Computer Science', 'Math']",64
"['Computer Science', 'Data Analysis & Statistics', 'Economics']",64
"['Art & Culture', 'Computer Science', 'Engineering']",64
"['Biology & Life Sciences', 'History', 'Science']",64
"['Data Analysis & Statistics', 'Environmental Science and Sustainability', 'History']",64
"['Chemistry', 'History', 'History']",64
"['Economics', 'History', 'History']",64
"['Business Essentials', 'Machine Learning', 'Mobile and Web Development']",64
"['History', 'History', 'Learning English']",64
"['Biology & Life Sciences', 'Social Sciences', 'Software Development']",63
"['Computer Science', 'History', 'Science']",63
"['Computer Science', 'Data Analysis', 'Machine Learning']",63
"['History', 'Law', 'Medicine & Healthcare']",63
"['Biology', 'Environmental Science and Sustainability', 'History']",63
"['Finance', 'History', 'Math and Logic']",63
"['Finance', 'Medicine & Healthcare', 'Mobile and Web Development']",63
"['Medicine & Healthcare', 'Mobile and Web Development', 'Software Development']",63
"['Computer Science', 'Education', 'Software Development']",63
"['History', 'Learning English', 'Medicine & Healthcare']",63
"['Business Essentials', 'Mobile and Web Development', 'Psychology']",63
"['Business Essentials', 'Mobile and Web Development', 'Mobile and Web Development']",63
"['Design and Product', 'Education', 'History']",63
"['Biology & Life Sciences', 'Biology & Life Sciences', 'Math']",62
"['Art & Culture', 'Computer Science', 'Social Sciences']",62
"['Computer Science', 'Music and Art', 'Social Sciences']",62
"['Computer Science', 'Data Analysis', 'Economics']",62
"['History', 'Leadership and Management', 'Software Development']",62
"['Business & Management', 'History', 'Mobile and Web Development']",62
"['Economics', 'History', 'Music and Art']",62
"['History', 'Music and Art', 'Music and Art']",62
"['Chemistry', 'History', 'Medicine & Healthcare']",62
"['Biology & Life Sciences', 'Biology & Life Sciences', 'Engineering']",61
"['Computer Science', 'Mobile and Web Development', 'Social Sciences']",61
"['Biology & Life Sciences', 'Biology & Life Sciences', 'Business & Management']",61
"['Business & Management', 'Computer Science', 'Mobile and Web Development']",61
"['Computer Science', 'Humanities', 'Mobile and Web Development']",61
"['Computer Science', 'Data Analysis', 'Psychology']",61
"['Mobile and Web Development', 'Music and Art', 'Psychology']",61
"['History', 'History', 'Science']",61
"['Education & Teacher Training', 'History', 'History']",61
"['History', 'Medicine & Healthcare', 'Science']",61
"['Economics', 'Education', 'History']",61
"['Data Analysis', 'Education', 'Medicine & Healthcare']",61
"['Biology', 'History', 'Mobile and Web Development']",61
"['Computer Science', 'Data Analysis', 'Social Sciences']",60
"['Computer Science', 'Engineering', 'Math']",60
"['Computer Science', 'Computer Science', 'Psychology']",60
"['Biology & Life Sciences', 'History', 'Philosophy']",60
"['Computer Science', 'History', 'Law']",60
"['Biology & Life Sciences', 'History', 'Probability and Statistics']",60
"['Data Analysis & Statistics', 'Health & Safety', 'History']",60
"['Computer Science', 'Probability and Statistics', 'Software Development']",60
"['Biology', 'Business & Management', 'History']",60
"['History', 'Mechanical Engineering', 'Software Development']",60
"['Mobile and Web Development', 'Mobile and Web Development', 'Music and Art']",60
"['Data Analysis', 'Finance', 'Medicine & Healthcare']",60
"['Business Strategy', 'Data Analysis', 'Software Development']",60
"['Data Analysis', 'Data Analysis', 'Mobile and Web Development']",60
"['Data Analysis', 'Entrepreneurship', 'History']",60
"['History', 'Learning English', 'Music and Art']",60
"['Biology & Life Sciences', 'Computer Science', 'Humanities']",59
"['Computer Science', 'Health & Safety', 'History']",59
"['Computer Science', 'History', 'Math and Logic']",59
"['History', 'Probability and Statistics', 'Software Development']",59
"['Machine Learning', 'Psychology', 'Software Development']",59
"['Data Analysis', 'Leadership and Management', 'Mobile and Web Development']",59
"['Computer Science', 'Finance', 'Leadership and Management']",59
"['Education', 'Entrepreneurship', 'Finance']",59
"['Biology', 'Finance', 'Medicine & Healthcare']",59
"['History', 'History', 'Sociology']",59
"['History', 'History', 'Marketing']",59
"['Entrepreneurship', 'History', 'Math and Logic']",59
"['Education', 'History', 'Leadership and Management']",59
"['Computer Science', 'Electronics', 'Engineering']",58
"['Business & Management', 'Health & Safety', 'History']",58
"['Machine Learning', 'Mobile and Web Development', 'Music and Art']",58
"['Data Analysis', 'Probability and Statistics', 'Software Development']",58
"['History', 'Medicine & Healthcare', 'Probability and Statistics']",58
"['Computer Science', 'Finance', 'Software Development']",58
"['Business Essentials', 'Psychology', 'Software Development']",58
"['Business Essentials', 'History', 'Software Development']",58
"['Computer Science', 'Social Sciences', 'Social Sciences']",57
"['Engineering', 'History', 'Social Sciences']",57
"['Computer Science', 'Electronics', 'Mobile and Web Development']",57
"['Engineering', 'History', 'Music and Art']",57
"['Data Analysis', 'Mechanical Engineering', 'Software Development']",57
"['History', 'Humanities', 'Mobile and Web Development']",57
"['History', 'Music and Art', 'Philosophy']",57
"['Economics', 'Finance', 'History']",57
"['Business Essentials', 'Computer Science', 'Software Development']",57
"['Business Strategy', 'Computer Science', 'Mobile and Web Development']",57
"['Education', 'History', 'Learning English']",57
"['Entrepreneurship', 'Medicine & Healthcare', 'Music and Art']",57
"['Business & Management', 'Engineering', 'Social Sciences']",56
"['Biology & Life Sciences', 'Design and Product', 'History']",56
"['Data Analysis & Statistics', 'History', 'Leadership and Management']",56
"['Computer Science', 'Data Analysis', 'Probability and Statistics']",56
"['Data Analysis & Statistics', 'History', 'Mobile and Web Development']",56
"['History', 'Music and Art', 'Probability and Statistics']",56
"['Finance', 'History', 'Probability and Statistics']",56
"['Biology & Life Sciences', 'Data Analysis & Statistics', 'Social Sciences']",55
"['Biology & Life Sciences', 'Engineering', 'Law']",55
"['Computer Science', 'Science', 'Social Sciences']",55
"['Computer Science', 'Computer Science', 'Science']",55
"['Art & Culture', 'Business & Management', 'Computer Science']",55
"['Computer Science', 'Engineering', 'Mobile and Web Development']",55
"['History', 'Mobile and Web Development', 'Philosophy']",55
"['History', 'Humanities', 'Music and Art']",55
"['Education', 'History', 'Probability and Statistics']",55
"['Education', 'Engineering', 'History']",55
"['Education', 'History', 'Humanities']",55
"['Biology', 'Education', 'Finance']",55
"['Education', 'Medicine & Healthcare', 'Mobile and Web Development']",55
"['Education', 'Education', 'History']",55
"['Education', 'Mobile and Web Development', 'Mobile and Web Development']",55
"['History', 'Learning English', 'Mobile and Web Development']",55
"['Data Analysis', 'Entrepreneurship', 'Music and Art']",55
"['Computer Science', 'Math', 'Software Development']",54
"['Business & Management', 'Computer Science', 'Electronics']",54
"['Biology & Life Sciences', 'Education & Teacher Training', 'History']",54
"['Computer Science', 'Data Analysis', 'Humanities']",54
"['Biology', 'Engineering', 'History']",54
"['Data Analysis', 'Data Analysis & Statistics', 'History']",54
"['Data Analysis', 'History', 'Psychology']",54
"['History', 'Mechanical Engineering', 'Music and Art']",54
"['Biology', 'Data Analysis', 'History']",54
"['Computer Science', 'Economics', 'Medicine & Healthcare']",54
"['Business Essentials', 'Machine Learning', 'Software Development']",54
"['Data Analysis', 'Medicine & Healthcare', 'Music and Art']",54
"['Biology', 'Education', 'Music and Art']",54
"['Business Strategy', 'History', 'Mobile and Web Development']",54
"['Education', 'Entrepreneurship', 'Medicine & Healthcare']",54
"['Engineering', 'Social Sciences', 'Software Development']",53
"['Engineering', 'Math', 'Social Sciences']",53
"['Computer Science', 'Law', 'Social Sciences']",53
"['Biology & Life Sciences', 'Engineering', 'Software Development']",53
"['Biology & Life Sciences', 'Engineering', 'Health & Safety']",53
"['Biology & Life Sciences', 'Business & Management', 'Software Development']",53
"['Biology & Life Sciences', 'Computer Science', 'Probability and Statistics']",53
"['Biology & Life Sciences', 'Economics', 'History']",53
"['Data Analysis & Statistics', 'History', 'Software Development']",53
"['Electronics', 'Mobile and Web Development', 'Software Development']",53
"['Data Analysis', 'History', 'Leadership and Management']",53
"['Education & Teacher Training', 'History', 'Medicine & Healthcare']",53
"['Business Essentials', 'Computer Science', 'Data Analysis']",53
"['Design and Product', 'History', 'Mobile and Web Development']",53
"['Computer Science', 'Leadership and Management', 'Medicine & Healthcare']",53
"['Computer Science', 'Computer Security and Networks', 'Finance']",53
"['Education', 'History', 'Philosophy']",53
"['Computer Science', 'Education', 'Music and Art']",53
"['Biology & Life Sciences', 'Law', 'Social Sciences']",52
"['Engineering', 'Environmental Science and Sustainability', 'History']",52
"['Computer Science', 'Machine Learning', 'Music and Art']",52
"['Data Analysis', 'Leadership and Management', 'Software Development']",52
"['Environmental Science and Sustainability', 'Health & Safety', 'History']",52
"['Mobile and Web Development', 'Philosophy', 'Software Development']",52
"['Humanities', 'Mobile and Web Development', 'Software Development']",52
"['Biology', 'Computer Science', 'Medicine & Healthcare']",52
"['Finance', 'Finance', 'History']",52
"['Engineering', 'Finance', 'History']",52
"['Data Analysis', 'Finance', 'Software Development']",52
"['Finance', 'History', 'Law']",52
"['Design and Product', 'Finance', 'History']",52
"['Finance', 'History', 'Philosophy']",52
"['Education', 'Mobile and Web Development', 'Psychology']",52
"['Business Strategy', 'Mobile and Web Development', 'Psychology']",52
"['Entrepreneurship', 'Mobile and Web Development', 'Music and Art']",52
"['Computer Science', 'Computer Security and Networks', 'Leadership and Management']",52
"['Computer Science', 'Data Analysis & Statistics', 'Electronics']",51
"['Computer Science', 'Data Analysis & Statistics', 'Music and Art']",51
"['Computer Science', 'Humanities', 'Music and Art']",51
"['History', 'Software Development', 'Software Development']",51
"['Entrepreneurship', 'Finance', 'Medicine & Healthcare']",51
"['History', 'Medicine & Healthcare', 'Sociology']",51
"['Business Essentials', 'Computer Science', 'History']",51
"['Biology & Life Sciences', 'Computer Science', 'Machine Learning']",50
"['Computer Science', 'Economics', 'Electronics']",50
"['Biology & Life Sciences', 'Business & Management', 'Data Analysis & Statistics']",50
"['Art & Culture', 'Computer Science', 'History']",50
"['Business & Management', 'Computer Science', 'Humanities']",50
"['Data Analysis', 'History', 'Probability and Statistics']",50
"['Biology', 'Health & Safety', 'History']",50
"['Machine Learning', 'Music and Art', 'Software Development']",50
"['Computer Science', 'Engineering', 'Medicine & Healthcare']",50
"['Psychology', 'Software Development', 'Software Development']",50
"['Data Analysis', 'Finance', 'Leadership and Management']",50
"['Biology', 'Data Analysis', 'Finance']",50
"['Education', 'History', 'Mechanical Engineering']",50
"['Business Strategy', 'Mobile and Web Development', 'Mobile and Web Development']",50
"['Design and Product', 'History', 'Music and Art']",50
"['History', 'Marketing', 'Medicine & Healthcare']",50
"['Art & Culture', 'Computer Science', 'Software Development']",49
"['Biology & Life Sciences', 'Computer Science', 'Philosophy & Ethics']",49
"['Engineering', 'History', 'Math']",49
"['Engineering', 'Health & Safety', 'History']",49
"['Computer Science', 'Data Analysis & Statistics', 'Environmental Science and Sustainability']",49
"['Computer Science', 'Music and Art', 'Psychology']",49
