"","V1","V2","V3"
"result.7221","Data Science","Computer Science","Social Sciences"
"result.7222","Data Science","Computer Science","Physical Science and Engineering"
"result.7223","Data Science","Computer Science","Life Sciences"
"result.7224","Data Science","Computer Science","Physical Science and Engineering"
"result.7225","Data Science","Computer Science","Computer Science"
"result.7226","Data Science","Computer Science","Language Learning"
"result.7227","Data Science","Computer Science","Computer Science"
"result.7228","Data Science","Computer Science","Language Learning"
"result.7229","Data Science","Computer Science","Business"
"result.7230","Data Science","Computer Science","Business"
"result.7231","Data Science","Computer Science","Social Sciences"
"result.7232","Data Science","Computer Science","Computer Science"
"result.7233","Data Science","Computer Science","Computer Science"
"result.7234","Data Science","Computer Science","Computer Science"
"result.7235","Data Science","Computer Science","Social Sciences"
"result.7236","Data Science","Computer Science","Physical Science and Engineering"
"result.7237","Data Science","Computer Science","Life Sciences"
"result.7238","Data Science","Computer Science","Physical Science and Engineering"
"result.7239","Data Science","Computer Science","Computer Science"
"result.7240","Data Science","Computer Science","Language Learning"
"result.7241","Data Science","Computer Science","Computer Science"
"result.7242","Data Science","Language Learning","Business"
"result.7243","Data Science","Language Learning","Business"
"result.7244","Data Science","Language Learning","Social Sciences"
"result.7245","Data Science","Language Learning","Computer Science"
"result.7246","Data Science","Language Learning","Computer Science"
"result.7247","Data Science","Language Learning","Computer Science"
"result.7248","Data Science","Language Learning","Social Sciences"
"result.7249","Data Science","Language Learning","Physical Science and Engineering"
"result.7250","Data Science","Language Learning","Life Sciences"
"result.7251","Data Science","Language Learning","Physical Science and Engineering"
"result.7252","Data Science","Language Learning","Computer Science"
"result.7253","Data Science","Language Learning","Language Learning"
"result.7254","Data Science","Language Learning","Computer Science"
"result.7255","Data Science","Business","Business"
"result.7256","Data Science","Business","Social Sciences"
"result.7257","Data Science","Business","Computer Science"
"result.7258","Data Science","Business","Computer Science"
"result.7259","Data Science","Business","Computer Science"
"result.7260","Data Science","Business","Social Sciences"
"result.7261","Data Science","Business","Physical Science and Engineering"
"result.7262","Data Science","Business","Life Sciences"
"result.7263","Data Science","Business","Physical Science and Engineering"
"result.7264","Data Science","Business","Computer Science"
"result.7265","Data Science","Business","Language Learning"
"result.7266","Data Science","Business","Computer Science"
"result.7267","Data Science","Business","Social Sciences"
"result.7268","Data Science","Business","Computer Science"
