title,provider,school,rating,review_count,language,price,description,url,course_id
Conditions of War and Peace,Coursera,The University of Tokyo,5,3,,FREE,This course aims to nail down some of the basic issues that have been argued in the current research on peace and security.,/enroll?course_id=419,419
Physics 1 for Physical Science Majors,Coursera,University of Colorado Boulder,5,4,,FREE,"This is a 12 week course, currently scheduled to start on Monday, April 14, 2014 and finishing on Friday, July 11. This introductory physics course is intended for physical science majors and others desiring a rigorous introduction to physics. It closely parallels the brick-and-mortar course given to the freshmen at the University of Colorado at Boulder. The course covers classical mechanics, including kinematics, dynamics, conservation laws, and applications.",/enroll?course_id=424,424
Comic Books and Graphic Novels,Coursera,University of Colorado Boulder,5,75,,FREE,"Comic books have arrived! ""Comic Books and Graphic Novels"" presents a survey of the Anglo-American comic book canon and of the major graphic novels in circulation in the United States today. Its governing question is simple: by what terms can we discuss comic books as literary art? In pursuit of that question it develops a theory of literary reading and time itself. Visit us at www.facebook.com/UCBComics or bit.ly/project10-4 to see some student-created comics from 2013!",/enroll?course_id=426,426
Democratic Development,Coursera,Stanford University,4,1,,FREE,"Gain an understanding of the political, social, cultural, economic, institutional and international factors that foster and obstruct the development and consolidation of democracy. It is hoped that students in developing or prospective democracies will use the theories, ideas, and lessons in the class to help build or improve democracy in their own countries.",/enroll?course_id=433,433
Introductory Physics I with Laboratory,Coursera,Georgia Institute of Technology,4,1,,FREE,"Explore motion in the real world using modern tools and techniques (video capture and analysis, computer modeling) guided by fundamental physics principles.",/enroll?course_id=457,457
Growing Old Around the Globe,Coursera,University of Pennsylvania,4,4,,FREE,"The world is ageing ? people are older and societies are facing hard realities. What are we to make our lives in this time of global ageing? In six weeks, we analyze critical questions about age and ageing around the world.",/enroll?course_id=458,458
The Science of Safety in Healthcare,Coursera,Johns Hopkins University,4,1,,FREE,Health professionals and students and health consumers interested in learning about patient safety will acquire foundational knowledge of the principles of the science and culture of safety in healthcare in this five-week course.,/enroll?course_id=459,459
Caries Management by Risk Assessment (CAMBRA),Coursera,"University of California, San Francisco",4,1,,FREE,This course will provide the scientific basis for caries (dental decay) risk assessment and practice interventions. You will immediately be able to apply ¡°caries management by risk assessment¡± into your clinical setting or into your personal health care.,/enroll?course_id=464,464
Case-Based Introduction to Biostatistics,Coursera,Johns Hopkins University,3,5,,FREE,Learn to frame and address health-related questions using modern biostatistics ideas and methods.,/enroll?course_id=468,468
Calvin - Histoire et r?ception d'une R?forme,Coursera,University of Geneva,4,4,,"FREE, Add a Verified Certificate for $49","Course in French with English subtitles -- Ce cours introduit ? la vie et ? la pens?e du r?formateur Jean Calvin (1509-1564) ainsi qu¡¯? son influence sur le monde moderne et contemporain. La d?marche propos?e se veut critique, il ne s¡¯agit ni de canoniser ni de condamner Calvin, mais de comprendre sa pens?e avec toute la distance requise et d¡¯en analyser les enjeux. Au cours de la premi?re semaine, nous explorerons les principales ?tapes de la vie de Calvin. Les semaines 2 et 3 seront consacr?es ? l¡¯?tude de sa pens?e th?ologique et de son ?thique. Enfin, lors des semaines 4 et 5, nous nous interrogerons sur la diffusion du calvinisme dans le monde et la pertinence actuelle de la pens?e de Calvin. -- This course is an introduction to the life and thought of the reformer John Calvin (1509-1564) and to his influence on the modern and contemporary world. The approach we develop is critical: we intend neither to canonize nor to conde... Course in French with English subtitles -- Ce cours introduit ? la vie et ? la pens?e du r?formateur Jean Calvin (1509-1564) ainsi qu¡¯? son influence sur le monde moderne et contemporain. La d?marche propos?e se veut critique, il ne s¡¯agit ni de canoniser ni de condamner Calvin, mais de comprendre sa pens?e avec toute la distance requise et d¡¯en analyser les enjeux. Au cours de la premi?re semaine, nous explorerons les principales ?tapes de la vie de Calvin. Les semaines 2 et 3 seront consacr?es ? l¡¯?tude de sa pens?e th?ologique et de son ?thique. Enfin, lors des semaines 4 et 5, nous nous interrogerons sur la diffusion du calvinisme dans le monde et la pertinence actuelle de la pens?e de Calvin. -- This course is an introduction to the life and thought of the reformer John Calvin (1509-1564) and to his influence on the modern and contemporary world. The approach we develop is critical: we intend neither to canonize nor to condemn Calvin or his thought. Our goal, rather, is to avoid any rash evaluation in order to understand his thought and analyze the issues at stake in it. During five weeks, we will explore together the life and work of the Reformer. During the first week, we will study the main aspects of Calvin¡¯s life. Weeks 2 and 3 will focus on his theology and his ethics. During the last two weeks (weeks 4 and 5), we will ponder how Calvinism became a worldwide phenomenon and ask ourselves what kind of relevance Calvin¡¯s thought may still have today. read more read less",/enroll?course_id=1183,1183
